Election year,Area Code,Constituency,Candidate name,Party abbreviation,Party,Candidate Votes,Candidate rank,Share of vote,Total constituency votes,Winning party,Majority,Electorate,% Turnout,% Majority,Gain/Hold
2015,A11,Barking,Margaret Hodge,Lab,Labour,24826,1,57.7,43023,Lab,15272,74050,58.1,35.5,LAB HOLD
2015,A11,Barking,Roger Gravett,UKIP,UK Independence Party,9554,2,22.2,,,,,,,
2015,A11,Barking,Mina Rahman,Cons,Conservative,7019,3,16.3,,,,,,,
2015,A11,Barking,Tony Rablen,Green,Green,879,4,2,,,,,,,
2015,A11,Barking,Peter Wilcock,LibDem,Liberal Democrat,562,5,1.3,,,,,,,
2015,A11,Barking,Joseph Mambuliya,TUSC,Trade Unionist and Socialist Coalition,183,6,0.4,,,,,,,
2015,A20,Battersea,Jane Ellison,Cons,Conservative,26730,1,52.4,51031,Cons,7938,76052,67.1,15.6,CON HOLD
2015,A20,Battersea,Will Martindale,Lab,Labour,18792,2,36.8,,,,,,,
2015,A20,Battersea,Luke Taylor,LibDem,Liberal Democrat,2241,3,4.4,,,,,,,
2015,A20,Battersea,Joe Stuart,Green,Green,1682,4,3.3,,,,,,,
2015,A20,Battersea,Christopher Howe,UKIP,UK Independence Party,1586,5,3.1,,,,,,,
2015,A22,Beckenham,Bob Stewart,Cons,Conservative,27955,1,57.3,48803,Cons,18471,67408,72.4,37.8,CON HOLD
2015,A22,Beckenham,Marina Ahmad,Lab,Labour,9484,2,19.4,,,,,,,
2015,A22,Beckenham,Rob Bryant,UKIP,UK Independence Party,6108,3,12.5,,,,,,,
2015,A22,Beckenham,Anuja Prashar,LibDem,Liberal Democrat,3378,4,6.9,,,,,,,
2015,A22,Beckenham,Ruth Fabricant,Green,Green,1878,5,3.8,,,,,,,
2015,A24,Bermondsey and Old Southwark,Neil Coyle,Lab,Labour,22146,1,43.1,51424,Lab,4489,80602,63.8,8.7,LAB GAIN FROM LIB DEM
2015,A24,Bermondsey and Old Southwark,Simon Hughes,LibDem,Liberal Democrat,17657,2,34.3,,,,,,,
2015,A24,Bermondsey and Old Southwark,JP Floru,Cons,Conservative,6051,3,11.8,,,,,,,
2015,A24,Bermondsey and Old Southwark,Andrew Beadle,UKIP,UK Independence Party,3254,4,6.3,,,,,,,
2015,A24,Bermondsey and Old Southwark,William Lavin,Green,Green,2023,5,3.9,,,,,,,
2015,A24,Bermondsey and Old Southwark,Kingsley Abrams,TUSC,Trade Unionist and Socialist Coalition,142,6,0.3,,,,,,,
2015,A24,Bermondsey and Old Southwark,Lucy Hall,Ind,Independent,72,7,0.1,,,,,,,
